dBdt_X dBdt_Z
1.073917818992903011e-09 1.073917818992903011e-09
7.236629272066986331e-10 7.236629272066986331e-10
5.299212827909351809e-10 5.299212827909351809e-10
3.935145785077522688e-10 3.935145785077522688e-10
3.036981404249356904e-10 3.036981404249356904e-10
2.320652625002531125e-10 2.320652625002531125e-10
1.859644328940314071e-10 1.859644328940314071e-10
1.461244251614424141e-10 1.461244251614424141e-10
1.199410622927926307e-10 1.199410622927926307e-10
9.797807892815349912e-11 9.797807892815349912e-11
7.889548726415071236e-11 7.889548726415071236e-11
6.368671108751825167e-11 6.368671108751825167e-11
5.094900271486499646e-11 5.094900271486499646e-11
4.078880372355917634e-11 4.078880372355917634e-11
3.234578930766577278e-11 3.234578930766577278e-11
2.561991943904480849e-11 2.561991943904480849e-11
2.011969618201189434e-11 2.011969618201189434e-11
1.591502156898987478e-11 1.591502156898987478e-11
1.253044298958109613e-11 1.253044298958109613e-11
9.866175653925760196e-12 9.866175653925760196e-12
7.703515812442480132e-12 7.703515812442480132e-12
5.985398424178906740e-12 5.985398424178906740e-12
4.645376271831993183e-12 4.645376271831993183e-12
3.608482735491086418e-12 3.608482735491086418e-12
2.842278098568930280e-12 2.842278098568930280e-12
2.231609778797602642e-12 2.231609778797602642e-12
1.739040194409032667e-12 1.739040194409032667e-12
1.350091689023598148e-12 1.350091689023598148e-12
1.041847686187402628e-12 1.041847686187402628e-12
7.981238088210932388e-13 7.981238088210932388e-13
6.066627267353865749e-13 6.066627267353865749e-13
4.622293533320603827e-13 4.622293533320603827e-13
3.523774303995135741e-13 3.523774303995135741e-13
2.649522916750063346e-13 2.649522916750063346e-13
1.954976961167850241e-13 1.954976961167850241e-13
1.410815821657158928e-13 1.410815821657158928e-13
9.889186510906709531e-14 9.889186510906709531e-14
1.071292876970058651e-09 1.071292876970058651e-09
7.221076837184168455e-10 7.221076837184168455e-10
5.291757155435594735e-10 5.291757155435594735e-10
3.933429685810271361e-10 3.933429685810271361e-10
3.038461678004806767e-10 3.038461678004806767e-10
2.324051485706735000e-10 2.324051485706735000e-10
1.863752739797564146e-10 1.863752739797564146e-10
1.465447436584164807e-10 1.465447436584164807e-10
1.203218588674715503e-10 1.203218588674715503e-10
9.830203699461411609e-11 9.830203699461411609e-11
7.915095487949340230e-11 7.915095487949340230e-11
6.387380163987737449e-11 6.387380163987737449e-11
5.107370914758729671e-11 5.107370914758729671e-11
4.086301055376653733e-11 4.086301055376653733e-11
3.238103706323890760e-11 3.238103706323890760e-11
2.562868301688024762e-11 2.562868301688024762e-11
2.011186477638668774e-11 2.011186477638668774e-11
1.589950492960539175e-11 1.589950492960539175e-11
1.251202518511747305e-11 1.251202518511747305e-11
9.847986816598309262e-12 9.847986816598309262e-12
7.687211936502310145e-12 7.687211936502310145e-12
5.971796170658525867e-12 5.971796170658525867e-12
4.634592904787376865e-12 4.634592904787376865e-12
3.600275419379968379e-12 3.600275419379968379e-12
2.836140796529813477e-12 2.836140796529813477e-12
2.227164837392762111e-12 2.227164837392762111e-12
1.735957889974365802e-12 1.735957889974365802e-12
1.348056934904002965e-12 1.348056934904002965e-12
1.040599938860329005e-12 1.040599938860329005e-12
7.974497783525493621e-13 7.974497783525493621e-13
6.063852230009272835e-13 6.063852230009272835e-13
4.621961372490055952e-13 4.621961372490055952e-13
3.524809253971963452e-13 3.524809253971963452e-13
2.651251922326046720e-13 2.651251922326046720e-13
1.956940000965726640e-13 1.956940000965726640e-13
1.412689768231587805e-13 1.412689768231587805e-13
9.905142234794718447e-14 9.905142234794718447e-14
1.056428561001203942e-09 1.056428561001203942e-09
7.145715093590384746e-10 7.145715093590384746e-10
5.250530495371388892e-10 5.250530495371388892e-10
3.912285352704912043e-10 3.912285352704912043e-10
3.027711554713826817e-10 3.027711554713826817e-10
2.319815858011316486e-10 2.319815858011316486e-10
1.862566058438165684e-10 1.862566058438165684e-10
1.465989848080128713e-10 1.465989848080128713e-10
1.204237898143481647e-10 1.204237898143481647e-10
9.841362776303719493e-11 9.841362776303719493e-11
7.924770825120833436e-11 7.924770825120833436e-11
6.394238607322654687e-11 6.394238607322654687e-11
5.111230013048246979e-11 5.111230013048246979e-11
4.087576811076944096e-11 4.087576811076944096e-11
3.237409396136835684e-11 3.237409396136835684e-11
2.560936362328574847e-11 2.560936362328574847e-11
2.008624235475801315e-11 2.008624235475801315e-11
1.587283542890556904e-11 1.587283542890556904e-11
1.248695904802487788e-11 1.248695904802487788e-11
9.826017111159267170e-12 9.826017111159267170e-12
7.668962110566261024e-12 7.668962110566261024e-12
5.957321415553679314e-12 5.957321415553679314e-12
4.623513136436494684e-12 4.623513136436494684e-12
3.592039099184467766e-12 3.592039099184467766e-12
2.830062352531139861e-12 2.830062352531139861e-12
2.222791133221463528e-12 2.222791133221463528e-12
1.732923137271922561e-12 1.732923137271922561e-12
1.346030208018096529e-12 1.346030208018096529e-12
1.039319712481463454e-12 1.039319712481463454e-12
7.967097939737114884e-13 7.967097939737114884e-13
6.060190900767003792e-13 6.060190900767003792e-13
4.620640560812128177e-13 4.620640560812128177e-13
3.524855005010296916e-13 3.524855005010296916e-13
2.652059384173181217e-13 2.652059384173181217e-13
1.958092768737581459e-13 1.958092768737581459e-13
1.413891364744816797e-13 1.413891364744816797e-13
9.915840958777104001e-14 9.915840958777104001e-14
1.044161916249109511e-09 1.044161916249109511e-09
7.081371309399559690e-10 7.081371309399559690e-10
5.215522190630767023e-10 5.215522190630767023e-10
3.895146677779479278e-10 3.895146677779479278e-10
3.019931444342063497e-10 3.019931444342063497e-10
2.317817798125431081e-10 2.317817798125431081e-10
1.863143630314646248e-10 1.863143630314646248e-10
1.467851512281065216e-10 1.467851512281065216e-10
1.206249318887851238e-10 1.206249318887851238e-10
9.859576539749857252e-11 9.859576539749857252e-11
7.938977231075740410e-11 7.938977231075740410e-11
6.403695180795296426e-11 6.403695180795296426e-11
5.116203619704712051e-11 5.116203619704712051e-11
4.088965155465125076e-11 4.088965155465125076e-11
3.236192864374270062e-11 3.236192864374270062e-11
2.558149088099116495e-11 2.558149088099116495e-11
2.005082885891774355e-11 2.005082885891774355e-11
1.583666327278031007e-11 1.583666327278031007e-11
1.245334810157583577e-11 1.245334810157583577e-11
9.796768034816795876e-12 9.796768034816795876e-12
7.644780724263949892e-12 7.644780724263949892e-12
5.938193903282929999e-12 5.938193903282929999e-12
4.608885806186118439e-12 4.608885806186118439e-12
3.581156950521591414e-12 3.581156950521591414e-12
2.822011401517889358e-12 2.822011401517889358e-12
2.216973024934252190e-12 2.216973024934252190e-12
1.728857808401353099e-12 1.728857808401353099e-12
1.343285285978287698e-12 1.343285285978287698e-12
1.037554769263748109e-12 1.037554769263748109e-12
7.956569355978855734e-13 7.956569355978855734e-13
6.054626020699366976e-13 6.054626020699366976e-13
4.618224299778839999e-13 4.618224299778839999e-13
3.524320451308395588e-13 3.524320451308395588e-13
2.652618123762936438e-13 2.652618123762936438e-13
1.959197569241917285e-13 1.959197569241917285e-13
1.415148621108598881e-13 1.415148621108598881e-13
9.927487539164616702e-14 9.927487539164616702e-14
1.037366003761589849e-09 1.037366003761589849e-09
7.052249499524723700e-10 7.052249499524723700e-10
5.204525218574291580e-10 5.204525218574291580e-10
3.894242849865517974e-10 3.894242849865517974e-10
3.023522566553549900e-10 3.023522566553549900e-10
2.323542685958458404e-10 2.323542685958458404e-10
1.869274581014037229e-10 1.869274581014037229e-10
1.473560974715924286e-10 1.473560974715924286e-10
1.211139768579581713e-10 1.211139768579581713e-10
9.899297301937374864e-11 9.899297301937374864e-11
7.969107177355948500e-11 7.969107177355948500e-11
6.425273581545033183e-11 6.425273581545033183e-11
5.130479259354204649e-11 5.130479259354204649e-11
4.097655214243150939e-11 4.097655214243150939e-11
3.240744725624924536e-11 3.240744725624924536e-11
2.559954296502193948e-11 2.559954296502193948e-11
2.005175722790360447e-11 2.005175722790360447e-11
1.582932619677861355e-11 1.582932619677861355e-11
1.244235867207454000e-11 1.244235867207454000e-11
9.785114074530452646e-12 9.785114074530452646e-12
7.634036045932669518e-12 7.634036045932669518e-12
5.929166771624497684e-12 5.929166771624497684e-12
4.601764890339772806e-12 4.601764890339772806e-12
3.575809326127996375e-12 3.575809326127996375e-12
2.818087285415087439e-12 2.818087285415087439e-12
2.214203742558266529e-12 2.214203742558266529e-12
1.727009185438353161e-12 1.727009185438353161e-12
1.342135231872750324e-12 1.342135231872750324e-12
1.036921349610540669e-12 1.036921349610540669e-12
7.953927504463130934e-13 7.953927504463130934e-13
6.054457837677453260e-13 6.054457837677453260e-13
4.619493822363711901e-13 4.619493822363711901e-13
3.526300020811095626e-13 3.526300020811095626e-13
2.654854320432963490e-13 2.654854320432963490e-13
1.961388579453522365e-13 1.961388579453522365e-13
1.417090022481962137e-13 1.417090022481962137e-13
9.943318447150781124e-14 9.943318447150781124e-14
1.055641145929386139e-09 1.055641145929386139e-09
7.150622060712805873e-10 7.150622060712805873e-10
5.263707038170093534e-10 5.263707038170093534e-10
3.930991049136423039e-10 3.930991049136423039e-10
3.048861205789300132e-10 3.048861205789300132e-10
2.341375124690310952e-10 2.341375124690310952e-10
1.882943886397405582e-10 1.882943886397405582e-10
1.483867850687710881e-10 1.483867850687710881e-10
1.219245169779442571e-10 1.219245169779442571e-10
9.961624030532426939e-11 9.961624030532426939e-11
8.014981579099443890e-11 8.014981579099443890e-11
6.458103498342790937e-11 6.458103498342790937e-11
5.152687758688764530e-11 5.152687758688764530e-11
4.111906848132989172e-11 4.111906848132989172e-11
