    dBdt_X    dBdt_Z
-9.99900e+03  1.07423e-09 
-9.99900e+03  7.24161e-10 
-9.99900e+03  5.30596e-10 
-9.99900e+03  3.94368e-10 
-9.99900e+03  3.04706e-10 
-9.99900e+03  2.33205e-10 
-9.99900e+03  1.87176e-10 
-9.99900e+03  1.47361e-10 
-9.99900e+03  1.21141e-10 
-9.99900e+03  9.91077e-11 
-9.99900e+03  7.99237e-11 
-9.99900e+03  6.45924e-11 
-9.99900e+03  5.17236e-11 
 8.82288e-13  4.14347e-11 
 1.03534e-12  3.28672e-11 
 1.08431e-12  2.60315e-11 
 1.04916e-12  2.04352e-11 
 9.49467e-13  1.61543e-11 
 8.21110e-13  1.27081e-11 
 6.82722e-13  9.99610e-12 
 5.44709e-13  7.79600e-12 
 4.16609e-13  6.04974e-12 
 3.05793e-13  4.68935e-12 
 2.14329e-13  3.63816e-12 
 1.45161e-13  2.86264e-12 
 9.07777e-14  2.24541e-12 
 4.86073e-14  1.74818e-12 
 1.78492e-14  1.35607e-12 
-3.54648e-15  1.04570e-12 
-1.74215e-14  8.00565e-13 
-2.51438e-14  6.08187e-13 
-2.79490e-14  4.63192e-13 
-2.75311e-14  3.52995e-13 
-2.52317e-14  2.65344e-13 
-2.18641e-14  1.95741e-13 
-1.79269e-14  1.41232e-13 
-1.38890e-14  9.89839e-14 
-9.99900e+03  1.07167e-09 
-9.99900e+03  7.22701e-10 
-9.99900e+03  5.29965e-10 
-9.99900e+03  3.94326e-10 
-9.99900e+03  3.04993e-10 
-9.99900e+03  2.33686e-10 
-9.99900e+03  1.87722e-10 
-9.99900e+03  1.47905e-10 
-9.99900e+03  1.21630e-10 
-9.99900e+03  9.95240e-11 
-9.99900e+03  8.02546e-11 
-9.99900e+03  6.48392e-11 
-9.99900e+03  5.18938e-11 
 9.15451e-13  4.15427e-11 
 1.07592e-12  3.29266e-11 
 1.12319e-12  2.60572e-11 
 1.08176e-12  2.04387e-11 
 9.74555e-13  1.61464e-11 
 8.39235e-13  1.26947e-11 
 6.95168e-13  9.98112e-12 
 5.52732e-13  7.78167e-12 
 4.21512e-13  6.03732e-12 
 3.08704e-13  4.67924e-12 
 2.16119e-13  3.63034e-12 
 1.46452e-13  2.85673e-12 
 9.18625e-14  2.24110e-12 
 4.96348e-14  1.74517e-12 
 1.88855e-14  1.35408e-12 
-2.49975e-15  1.04448e-12 
-1.63934e-14  7.99907e-13 
-2.41747e-14  6.07919e-13 
-2.70739e-14  4.63166e-13 
-2.67698e-14  3.53103e-13 
-2.45927e-14  2.65520e-13 
-2.13463e-14  1.95940e-13 
-1.75233e-14  1.41421e-13 
-1.35881e-14  9.91445e-14 
-9.99900e+03  1.05688e-09 
-9.99900e+03  7.15265e-10 
-9.99900e+03  5.25959e-10 
-9.99900e+03  3.92342e-10 
-9.99900e+03  3.04054e-10 
-9.99900e+03  2.33397e-10 
-9.99900e+03  1.87730e-10 
-9.99900e+03  1.48073e-10 
-9.99900e+03  1.21831e-10 
-9.99900e+03  9.97183e-11 
-9.99900e+03  8.04179e-11 
-9.99900e+03  6.49598e-11 
-9.99900e+03  5.19716e-11 
 1.03791e-12  4.15843e-11 
 1.18042e-12  3.29401e-11 
 1.20794e-12  2.60519e-11 
 1.14709e-12  2.04225e-11 
 1.02353e-12  1.61260e-11 
 8.74788e-13  1.26737e-11 
 7.20407e-13  9.96174e-12 
 5.70072e-13  7.76501e-12 
 4.33169e-13  6.02378e-12 
 3.16496e-13  4.66870e-12 
 2.21426e-13  3.62241e-12 
 1.50308e-13  2.85083e-12 
 9.47947e-14  2.23683e-12 
 5.19620e-14  1.74219e-12 
 2.08200e-14  1.35209e-12 
-8.45257e-16  1.04322e-12 
-1.49640e-14  7.99179e-13 
-2.29466e-14  6.07561e-13 
-2.60311e-14  4.63039e-13 
-2.58995e-14  3.53111e-13 
-2.38844e-14  2.65603e-13 
-2.07856e-14  1.96057e-13 
-1.70939e-14  1.41542e-13 
-1.32721e-14  9.92525e-14 
-9.99900e+03  1.04472e-09 
-9.99900e+03  7.08963e-10 
-9.99900e+03  5.22612e-10 
-9.99900e+03  3.90798e-10 
-9.99900e+03  3.03451e-10 
-9.99900e+03  2.33369e-10 
-9.99900e+03  1.87950e-10 
-9.99900e+03  1.48402e-10 
-9.99900e+03  1.22155e-10 
-9.99900e+03  1.00003e-10 
-9.99900e+03  8.06423e-11 
-9.99900e+03  6.51183e-11 
-9.99900e+03  5.20692e-11 
 1.08656e-12  4.16332e-11 
 1.23108e-12  3.29526e-11 
 1.25279e-12  2.60410e-11 
 1.18271e-12  2.03983e-11 
 1.04988e-12  1.60973e-11 
 8.93118e-13  1.26448e-11 
 7.32515e-13  9.93551e-12 
 5.77516e-13  7.74265e-12 
 4.37448e-13  6.00571e-12 
 3.18837e-13  4.65467e-12 
 2.22741e-13  3.61185e-12 
 1.51222e-13  2.84297e-12 
 9.55902e-14  2.23112e-12 
 5.27757e-14  1.73819e-12 
 2.17041e-14  1.34937e-12 
 9.80044e-17  1.04148e-12 
-1.40019e-14  7.98138e-13 
-2.20161e-14  6.07012e-13 
-2.51760e-14  4.62803e-13 
-2.51466e-14  3.53062e-13 
-2.32466e-14  2.65662e-13 
-2.02648e-14  1.96170e-13 
-1.66857e-14  1.41670e-13 
-1.29663e-14  9.93700e-14 
-9.99900e+03  1.03803e-09 
-9.99900e+03  7.06180e-10 
-9.99900e+03  5.21661e-10 
-9.99900e+03  3.90869e-10 
-9.99900e+03  3.03976e-10 
-9.99900e+03  2.34102e-10 
-9.99900e+03  1.88712e-10 
-9.99900e+03  1.49105e-10 
-9.99900e+03  1.22757e-10 
-9.99900e+03  1.00494e-10 
-9.99900e+03  8.10182e-11 
-9.99900e+03  6.53919e-11 
-9.99900e+03  5.22551e-11 
 1.22426e-12  4.17515e-11 
 1.34657e-12  3.30202e-11 
 1.34514e-12  2.60742e-11 
 1.25305e-12  2.04093e-11 
 1.10214e-12  1.60966e-11 
 9.30750e-13  1.26382e-11 
 7.59047e-13  9.92659e-12 
 5.95628e-13  7.73357e-12 
 4.49551e-13  5.99766e-12 
 3.26877e-13  4.64811e-12 
 2.28181e-13  3.60682e-12 
 1.55149e-13  2.83923e-12 
 9.85539e-14  2.22845e-12 
 5.51107e-14  1.73640e-12 
 2.36332e-14  1.34826e-12 
 1.74025e-15  1.04086e-12 
-1.25875e-14  7.97886e-13 
-2.08030e-14  6.07003e-13 
-2.41469e-14  4.62935e-13 
-2.42881e-14  3.53264e-13 
-2.25480e-14  2.65889e-13 
